,Unnamed: 0,factors,lr,reg_lambda,num_negatives,n_epochs,map
0,5,64,0.0001,0.001,5,7,0.13395
1,0,64,0.01,1e-05,5,5,0.1332033333333333
2,18,32,0.01,1e-05,5,10,0.1330733333333333
3,9,64,0.01,0.01,5,7,0.13287
4,17,32,0.001,0.0001,5,10,0.1323433333333333
5,8,16,0.0001,0.0001,5,10,0.13137
6,16,16,0.001,0.01,1,5,0.13096
7,3,128,0.0001,0.0001,1,7,0.13074
8,19,32,1e-05,0.01,10,10,0.1295966666666666
9,1,32,0.0001,0.0001,5,7,0.12884
10,15,64,0.01,0.0001,10,7,0.1272333333333333
11,12,64,0.0001,0.0001,1,10,0.12593
12,6,64,1e-05,0.01,5,10,0.12349
13,10,128,0.01,0.0001,5,7,0.1228166666666666
14,4,16,1e-05,0.001,5,10,0.1211266666666666
15,11,16,0.01,0.01,1,10,0.1059766666666666
16,14,16,0.0001,0.001,1,5,0.0736966666666666
17,7,64,1e-05,0.0001,5,7,0.04906
18,2,64,1e-05,0.001,1,10,0.00477
19,13,32,1e-05,0.001,1,10,0.0029333333333333
