,model_name,params,validation_f1,test_f1,is_winning_variant
22,SVD,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02}",0.6577706479996112,0.0,True
51,SVD++,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02}",0.6580208764203509,0.0,True
76,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.02}",0.6340862216409276,0.0,True
0,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.6488067441688992,,False
1,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}",0.6542845186224553,,False
2,SVD,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.1}",0.6216396299428513,,False
3,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.1}",0.6471454561205926,,False
4,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.05}",0.649112229454541,,False
5,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.654300168634064,,False
6,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.6371794071762871,,False
7,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",0.645475386397811,,False
8,SVD,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.6530278631727907,,False
9,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.05}",0.6536794416554427,,False
10,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.6522143836958652,,False
11,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.64396100513482,,False
12,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.02}",0.6463334067386038,,False
13,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1}",0.6461141631220625,,False
14,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.64196672460889,,False
15,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.652864554450565,,False
16,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.6546890617001049,,False
17,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.6473825831702544,,False
18,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.02}",0.6499516659936615,,False
19,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",0.6466946960689376,,False
20,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.6482095898154292,,False
21,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.05}",0.6435389815399473,,False
23,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.6471203415480394,,False
24,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.626637971653062,,False
25,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.05}",0.6519119124023223,,False
26,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.6473329500837849,,False
27,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.6259970532947213,,False
28,SVD,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.6404840621296238,,False
29,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.6480907391004822,,False
30,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}",0.6544152039585436,,False
31,SVD++,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.1}",0.6227765754459655,,False
32,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.1}",0.6475651077090495,,False
33,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.05}",0.6482016955617625,,False
34,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.6539924890722157,,False
35,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.6372704460618469,,False
36,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",0.6462792817203241,,False
37,SVD++,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.6532250195160031,,False
38,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.05}",0.6537462635370216,,False
39,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.6523501108023066,,False
40,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.644041727136283,,False
41,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.02}",0.6482637104471037,,False
42,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1}",0.6447793058934511,,False
43,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.6421494375605274,,False
44,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.6525125070852946,,False
45,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.6532697630747845,,False
46,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.6475466904444905,,False
47,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.02}",0.6500079579818558,,False
48,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",0.6459020817743538,,False
49,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.6487681462012724,,False
50,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.05}",0.6433136798295596,,False
52,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.6475892868127406,,False
53,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.6248072880168185,,False
54,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.05}",0.6524581333855646,,False
55,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.6461271266251636,,False
56,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.626253128851505,,False
57,SVD++,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.6406764441783898,,False
58,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.6324383491082352,,False
59,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.6263084257436003,,False
60,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.6166629591342694,,False
61,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.1}",0.5848247703300442,,False
62,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.6164516213457563,,False
63,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.6287215636014098,,False
64,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.6110765236511995,,False
65,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.02}",0.6334926058069315,,False
66,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.6266945002834905,,False
67,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.05}",0.6267363588020908,,False
68,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.6120943757848126,,False
69,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.6130877670467307,,False
70,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.6253604185421477,,False
71,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.1}",0.5829235826247589,,False
72,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.630263978912249,,False
73,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.6274038772004598,,False
74,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.6273306703064151,,False
75,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.02}",0.6296687990094924,,False
77,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.6115253698528536,,False
78,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.6303923582580115,,False
79,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.6336096273101246,,False
80,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.6258034297015275,,False
81,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.6234826287149435,,False
82,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.05}",0.6295345434006829,,False
83,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.02}",0.6263954576332014,,False
84,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.6286829318722217,,False
