,Unnamed: 0,factors,lr,reg_lambda,num_negatives,n_epochs,map
0,4,64,0.0001,1e-05,10,10,0.0469869869869869
1,17,64,1e-05,0.0001,10,10,0.0459192525859192
2,7,16,0.01,0.01,1,7,0.0455622288955622
3,12,128,0.001,0.0001,10,7,0.0452652652652652
4,5,64,0.0001,0.01,5,7,0.0442308975642308
5,0,16,0.01,0.001,5,7,0.0438238238238238
6,16,128,0.0001,1e-05,10,7,0.0434134134134134
7,18,32,0.01,0.01,5,10,0.0432999666332999
8,9,128,0.0001,0.01,10,10,0.0424724724724724
9,15,32,0.0001,1e-05,5,10,0.0418718718718718
10,13,32,0.01,0.0001,1,7,0.0414748081414748
11,3,128,0.001,1e-05,10,7,0.0405739072405739
12,11,16,0.001,1e-05,10,10,0.0404137470804137
13,8,16,0.01,0.001,5,5,0.0402635969302635
14,2,64,0.01,0.001,10,10,0.0394661327994661
15,6,32,1e-05,1e-05,5,10,0.0290023356690023
16,10,128,1e-05,0.0001,5,7,0.0275275275275275
17,19,32,1e-05,0.001,5,5,0.026373039706373
18,14,128,1e-05,0.0001,1,10,0.0244544544544544
19,1,128,1e-05,0.001,1,5,0.0234601267934601
