,model_name,params,validation_f1,test_f1,is_winning_variant
84,NMF,"{'n_factors': 100, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.7572463005451828,0.747022255445686,True
45,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.5731924492461118,0.5627189598133908,True
16,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.5750286948889339,0.5602516391990077,True
0,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.5056446445814119,,False
1,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}",0.5104785396243867,,False
2,SVD,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.1}",0.47728070661714433,,False
3,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.1}",0.5030077446010757,,False
4,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.05}",0.5006289308176101,,False
5,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.5033666969972702,,False
6,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.48566892133738376,,False
7,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",0.5107786040677359,,False
8,SVD,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.5394748428226758,,False
9,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.05}",0.5488802926238783,,False
10,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.5326651027226843,,False
11,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.4882982326075217,,False
12,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.02}",0.558928617330283,,False
13,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1}",0.4841888702137235,,False
14,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.48984297792906556,,False
15,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.5058608491638401,,False
17,SVD,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.548404250682149,,False
18,SVD,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.02}",0.5173832710005087,,False
19,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",0.5203926078468081,,False
20,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.5394968854390955,,False
21,SVD,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.05}",0.5002578555466085,,False
22,SVD,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02}",0.5380930113551142,,False
23,SVD,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.5068547514250668,,False
24,SVD,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.49078624638698676,,False
25,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.05}",0.5211032552130065,,False
26,SVD,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.5652866644748489,,False
27,SVD,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.4911970547495808,,False
28,SVD,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.4856941042647072,,False
29,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.5174524755665342,,False
30,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.1}",0.5159092346758962,,False
31,SVD++,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.1}",0.4775038563498148,,False
32,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.1}",0.5118524545701112,,False
33,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.05}",0.5120030209850569,,False
34,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.510961061530385,,False
35,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.4895942013069024,,False
36,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",0.521643015046709,,False
37,SVD++,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.5443470770745256,,False
38,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.05}",0.547947371194688,,False
39,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.5394966160923608,,False
40,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.4905646583629568,,False
41,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.02}",0.5589005797723856,,False
42,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.1}",0.48889336531946453,,False
43,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.1}",0.49769115169178924,,False
44,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",0.5120149213190156,,False
46,SVD++,"{'n_factors': 100, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",0.5482463793404292,,False
47,SVD++,"{'n_factors': 15, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.02}",0.5296821481179123,,False
48,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",0.53077011789963,,False
49,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.005, 'reg_all': 0.05}",0.5415955801104972,,False
50,SVD++,"{'n_factors': 30, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.05}",0.5096843260554701,,False
51,SVD++,"{'n_factors': 15, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.02}",0.5433825342586395,,False
52,SVD++,"{'n_factors': 30, 'n_epochs': 30, 'lr_all': 0.002, 'reg_all': 0.05}",0.5174046376499704,,False
53,SVD++,"{'n_factors': 30, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.4936288642916261,,False
54,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.01, 'reg_all': 0.05}",0.5287854854399258,,False
55,SVD++,"{'n_factors': 100, 'n_epochs': 30, 'lr_all': 0.01, 'reg_all': 0.02}",0.5638000725720024,,False
56,SVD++,"{'n_factors': 100, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.05}",0.49659740495417837,,False
57,SVD++,"{'n_factors': 15, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",0.4868868538532758,,False
58,NMF,"{'n_factors': 15, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.05}",0.5008851324975262,,False
59,NMF,"{'n_factors': 30, 'n_epochs': 100, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.5752803706937076,,False
60,NMF,"{'n_factors': 15, 'n_epochs': 50, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.4821371156655061,,False
61,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.1, 'reg_qi': 0.1}",0.44697746146993744,,False
62,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.1, 'reg_qi': 0.05}",0.6245185783648529,,False
63,NMF,"{'n_factors': 30, 'n_epochs': 50, 'reg_pu': 0.02, 'reg_qi': 0.1}",0.7263456385441869,,False
64,NMF,"{'n_factors': 100, 'n_epochs': 100, 'reg_pu': 0.05, 'reg_qi': 0.1}",0.5120130163608424,,False
