,Unnamed: 0,factors,lr,reg_lambda,num_negatives,n_epochs,map
0,15,32,0.0001,1e-05,5,10,0.0497936016511867
1,7,16,0.01,0.01,1,7,0.0478396972824217
2,0,16,0.01,0.001,5,7,0.0468077055383557
3,3,128,0.001,1e-05,10,7,0.0466701066391468
4,18,32,0.01,0.01,5,10,0.0463467492260061
5,17,64,1e-05,0.0001,10,10,0.0459442724458204
6,4,64,0.0001,1e-05,10,10,0.045500515995872
7,2,64,0.01,0.001,10,10,0.0450567595459236
8,16,128,0.0001,1e-05,10,7,0.0439353285173718
9,5,64,0.0001,0.01,5,7,0.043687650498796
10,9,128,0.0001,0.01,10,10,0.0430271757825937
11,13,32,0.01,0.0001,1,7,0.0423976608187134
12,12,128,0.001,0.0001,10,7,0.0416890264877881
13,11,16,0.001,1e-05,10,10,0.0416511867905056
14,8,16,0.01,0.001,5,5,0.0415961472308221
15,14,128,1e-05,0.0001,1,10,0.0414035087719298
16,6,32,1e-05,1e-05,5,10,0.041062951496388
17,10,128,1e-05,0.0001,5,7,0.0400928792569659
18,1,128,1e-05,0.001,1,5,0.0392328861369109
19,19,32,1e-05,0.001,5,5,0.0384554523563811
